city,country,airport_count
Fredericksburg,United States,3
Tsushima,Japan,3
Utrecht,Netherlands,3
Omsk,Russia,3
Topeka,United States,3
Nanaimo,Canada,3
Shreveport,United States,3
Kunshan,China,3
Fairfield,United States,3
Linz,Austria,3
Cambridge,United States,3
Niagara Falls,Canada,3
Quincy,United States,3
Hollywood,United States,3
Cairo,Egypt,3
Footscray,Australia,3
Sundsvall,Sweden,3
Sevilla,Spain,3
Athuruga,Maldives,3
Narita,Japan,3
Geilenkirchen,Germany,3
Surat Thani,Thailand,3
Prince Rupert,Canada,3
Bruges,Belgium,3
Jasper,United States,3
Lincoln,United States,3
Taganrog,Russia,3
Calais,France,3
Kanpur,India,3
Kassel,Germany,3
Haifa,Israel,3
Teheran,Iran,3
Strausberg,Germany,3
Irkutsk,Russia,3
Lafayette,United States,3
Murcia,Spain,3
Hefei,China,3
Berkeley,United States,3
Liege,Belgium,3
Michigan City,United States,3
Canton,United States,3
Khulna,Bangladesh,3
Colmar,France,3
Wichita,United States,3
Pisa,Italy,3
Masai Mara,Kenya,3
Salem,United States,3
Cork,Ireland,3
Mobile,United States,3
Zhuhai,China,3
Dry Tortugas,United States,3
Uppsala,Sweden,3
San Mateo,United States,3
Krasnoyarsk,Russia,3
Chengdu,China,3
Panama City,United States,3
Matheson Island,Canada,3
Mannheim,Germany,3
Cincinnati,United States,3
West Palm Beach,United States,3
Perry,United States,3
Jarvenpaa,Finland,3
Arkhangelsk,Russia,3
Bremen,Germany,3
Charlotte,United States,3
Albuquerque,United States,3
Erkrath,Germany,3
Chiayi,Taiwan,3
Garden City,United States,3
Malmo,Sweden,3
Freetown,Sierra Leone,3
New Haven,United States,3
Port Hardy,Canada,3
Macon,United States,3
Kansas City,United States,3
Akron,United States,3
Inuvik,Canada,3
Kemi,Finland,3
Szczecin,Poland,3
Celle,Germany,3
Dublin,Ireland,3
Augsburg,Germany,3
Split,Croatia,3
Bloomington,United States,3
Samara,Russia,3
Lanzhou,China,3
Port Angeles,United States,3
Friday Harbor,United States,3
Sibiu,Romania,3
Mississauga,Canada,3
Buchan Alpha,United Kingdom,3
Lucerne,Switzerland,3
Kaliningrad,Russia,3
Oxford,United Kingdom,3
Aguas Calientes,Peru,3
Chatham,Canada,3
Fort Worth,United States,3
Tsavo East,Kenya,3
Minsk,Belarus,3
Kalispell,United States,3
Strasbourg,France,3
Fairbanks,United States,3
Talkeetna,United States,3
San Juan,Puerto Rico,3
Milano,Italy,3
Porto,Portugal,3
Marshall,United States,3
Hollister,United States,3
Wuqing,China,3
Dokdo,South Korea,3
Tacoma,United States,3
Metz,France,3
Valparaiso,United States,3
Barnstable,United States,3
Scranton,United States,3
Stavanger,Norway,3
Belo Horizonte,Brazil,3
Fort Myers,United States,3
Dessau,Germany,3
Karachi,Pakistan,3
Homestead,United States,3
Providence,United States,3
Winnipeg,Canada,3
Warnemunde,Germany,3
Lakeland,United States,3
Santa Ana,United States,3
San Bruno,United States,3
Santa Barbara,United States,3
Chiba,Japan,3
Bristol,United Kingdom,3
Athens,United States,3
Naples,Italy,3
Palm Springs,United States,3
Johnstown,United States,3
Bucharest,Romania,3
Tonopah,United States,3
Riga,Latvia,3
Shenyang,China,3
Wuxi,China,3
Savannah,United States,3
Jinan,China,3
Rio de Janeiro,Brazil,3
Winnetka,United States,3
Nancy,France,3
Rangali Island,Maldives,3
Eagle,United States,3
Neuss,Germany,3
Gloucester,United States,3
Mascot,Australia,3
Quebec,Canada,3
Tanger,Morocco,3
Marseille,France,3
Niagara Falls,United States,3
Clinton,United States,3
Minot,United States,3
Charleston,United States,3
REMIRE-MONTJOLY,French Guiana,3
Belfort,France,3
Leeds,United Kingdom,3
Warszawa,Poland,3
Oklahoma City,United States,3
Caracas,Venezuela,3
Norfolk,United States,3
Indianapolis,United States,3
Bryan,United States,3
Rome,United States,3
Edmonton,Canada,3
Sintra,Portugal,3
Bentonville,United States,3
Toender,Denmark,3
Xuzhou,China,3
Laverton,Australia,3
Franz Josef,New Zealand,3
Valladolid,Spain,3
Pittsburgh,United States,3
Hilversum,Netherlands,3
Nuernberg,Germany,3
Bonn,Germany,3
Mulheim,Germany,3
Fayetteville,United States,3
Yerevan,Armenia,3
Northwest Arctic Borough,United States,3
Woodbridge,United States,3
Kazan,Russia,3
Nanjing,China,3
Picton,New Zealand,3
Huntsville,United States,3
Glasgow,United States,3
Sodertalje,Sweden,3
Adana,Turkey,3
Syracuse,United States,3
Tel-Aviv,Israel,3
Mountain Home,United States,3
Schwechat,Austria,3
Victoria Falls,Zimbabwe,3
Tainan,Taiwan,3
Scatsta,United Kingdom,2
Dubrovnik,Croatia,2
Freeport,Bahamas,2
Oranjestad,Aruba,2
Allentown,United States,2
Komsomolsk-on-Amur,Russia,2
Zagreb,Croatia,2
Tours,France,2
Guantanamo,Cuba,2
Udaipur,India,2
Merced,United States,2
Lindau,Germany,2
Sebring,United States,2
Olten,Switzerland,2
Otter Rapids,Canada,2
,Russia,2
Whitehorse,Canada,2
Charlottetown,Canada,2
Cambridge,United Kingdom,2
Tel-aviv,Israel,2
Hailar,China,2
Batam,Indonesia,2
Wishram,United States,2
Komandoo,Maldives,2
Hillingdon,United Kingdom,2
Yaounde,Cameroon,2
Ontario,United States,2
Hampton,United States,2
Matsu Islands,Taiwan,2
Saronno,Italy,2
San Francisco,United Kingdom,2
Porto Alegre,Brazil,2
Bellona,Solomon Islands,2
Lausanne,Switzerland,2
Volkel,Netherlands,2
Tengiz,Kazakhstan,2
Fuzhou,China,2
Newcastle Upon Tyne,United Kingdom,2
Krakow,Poland,2
Ufa,Russia,2
Baikonur,Kazakhstan,2
Chichen Itza,Mexico,2
Langfang,China,2
Astrakhan,Russia,2
Nha Trang,Vietnam,2
Antwerpen,Belgium,2
Sihanoukville,Cambodia,2
Bundaberg,Australia,2
Addis Ababa,Ethiopia,2
Gaya,India,2
Dowagiac,United States,2
Knokke,Belgium,2
Olathe,United States,2
Langenhagen,Germany,2
Ranong,Thailand,2
Nakhon Ratchasima,Thailand,2
Huntington,United States,2
Samsun,Turkey,2
Tok,United States,2
Deventer,Netherlands,2
Lerwick,United Kingdom,2
Natakhtari,Georgia,2
,Philippines,2
Isparta,Turkey,2
Changzhou,China,2
Bedwell Harbour,Canada,2
Burlingame,United States,2
Carcassonne,France,2
Dekai,Indonesia,2
Bois Blanc Island,United States,2
Kauhava,Finland,2
Kabul,Afghanistan,2
Victorville,United States,2
Uyo,Nigeria,2
Malatya,Turkey,2
Nakhon Sawan,Thailand,2
Zaragoza,Spain,2
Mazatlan,Mexico,2
Cancun,Mexico,2
Kenosha,United States,2
Pecs,Hungary,2
Sigtuna,Sweden,2
Treviso,Italy,2
Geneva,Switzerland,2
Fajardo,Puerto Rico,2
El Chalten,Argentina,2
Emporia,United States,2
Maubeuge,France,2
Bern,Switzerland,2
Kwajalein,Marshall Islands,2
Lucknow,India,2
Penang,Malaysia,2
Salzwedel,Germany,2
Berezniki,Russia,2
Aappilattoq,Greenland,2
Monterrey,Mexico,2
Lahore,Pakistan,2
Ronda,Spain,2
Westport,United States,2
Fort Pierce,United States,2
St. John's,Antigua and Barbuda,2
Amritsar,India,2
Waco,United States,2
Darwin,Australia,2
Wilkes-Barre,United States,2
Oakville,Canada,2
Altkirch,France,2
Oran,Algeria,2
Lelystad,Netherlands,2
Honolulu,United States,2
Windhoek,Namibia,2
Erie,United States,2
Severomorsk,Russia,2
Odawara,Japan,2
Yakutsk,Russia,2
Molokai,United States,2
Corpus Christi,United States,2
Rtishchevo,Russia,2
Chambery,France,2
Wellington,New Zealand,2
Caticlan,Philippines,2
Bauru,Brazil,2
Rabat,Morocco,2
Kingston,Jamaica,2
Quito,Ecuador,2
Tena,Ecuador,2
Asheville,United States,2
Stouffville,Canada,2
Oceanside,United States,2
Hyderabad,India,2
Omaha,United States,2
Delta Junction,United States,2
Chongjin,North Korea,2
Kerava,Finland,2
Amiens,France,2
Palma de Mallorca,Spain,2
Concord,United States,2
Ludington,United States,2
Yangshuo,China,2
Samana,Dominican Republic,2
Sun Island,Maldives,2
Duisburg,Germany,2
La Paz,Mexico,2
Pingtung,Taiwan,2
Romblon,Philippines,2
West Chicago,United States,2
Myrdal,Norway,2
Beer-sheba,Israel,2
Wels,Austria,2
Peterborough,United Kingdom,2
Wiesbaden,Germany,2
Debrecen,Hungary,2
Mara Intrepids,Kenya,2
St. Catharines,Canada,2
Hanoi,Vietnam,2
Midland,United States,2
Clovis,United States,2
Monroe,United States,2
Bucyrus,United States,2
Fukuoka,Japan,2
Longview,United States,2
Leigh Creek,Australia,2
La Digue,Seychelles,2
Buchen,Germany,2
Stralsund,Germany,2
Halifax,Canada,2
London,Canada,2
Hamm,Germany,2
Novi Sad,Serbia,2
Aurangabad,India,2
Nashville,United States,2
Williamsburg,United States,2
Winfield,United States,2
Vicenza,Italy,2
Jalu,Libya,2
Gangtok,India,2
Nara,Japan,2
Moroni,Comoros,2
Grand Canyon,United States,2
Battle Creek,United States,2
Santo Domingo,Dominican Republic,2
Amman,Jordan,2
Valetta,Malta,2
Manteo,United States,2
Bridgeport,United States,2
Deming,United States,2
Papeete,French Polynesia,2
Racine,United States,2
Rosslau,Germany,2
Fort Wainwright,United States,2
South San Francisco,United States,2
Erfurt,Germany,2
Verdun,France,2
Gyumri,Armenia,2
Baganara,Guyana,2
Elysee,French Guiana,2
Kaunas,Lithuania,2
Mukacheve,Ukraine,2
New Delhi,India,2
Durgapur,India,2
Oskarshamn,Sweden,2
Nimes,France,2
Carlsbad,United States,2
Flagstaff,United States,2
Dodge City,United States,2
Palermo,Italy,2
Gary,United States,2
Wood Buffalo,Canada,2
Redhill,United Kingdom,2
Roi Et,Thailand,2
Beaumont,United States,2
Pogapa,Indonesia,2
Smolensk,Russia,2
Sarasota,United States,2
Gallup,United States,2
Naypyidaw,Burma,2
Inowroclaw,Poland,2
Mathura,India,2
Thamkharka,Nepal,2
North Kingstown,United States,2
Pahokee,United States,2
Wildwood,United States,2
Antwerp,Belgium,2
San Sebastian,Spain,2
Peine,Germany,2
Rhinebeck,United States,2
Poughkeepsie,United States,2
MLN,Algeria,2
Gouda,Netherlands,2
Bettles,United States,2
Rottnest Island,Australia,2
Wheaton,United States,2
Aschaffenburg,Germany,2
Pula,Croatia,2
Oriximina,Brazil,2
Grindelwald,Switzerland,2
Palmer,United States,2
Rheine,Germany,2
Jiading,China,2
Le Havre,France,2
Jamestown,United States,2
Jena,Germany,2
Eindhoven,Netherlands,2
Rurutu,French Polynesia,2
Khabarovsk,Russia,2
Chongqing,China,2
Hartford,United States,2
Gaithersburg,United States,2
Utica,United States,2
Goerlitz,Germany,2
Munster,Germany,2
Zweibruecken,Germany,2
Uummannaq,Greenland,2
Lewistown,United States,2
Rockport,United States,2
Urumqi,China,2
Caye Caulker,Belize,2
Haringey,United Kingdom,2
Edina,United States,2
Esfahan,Iran,2
Jaipur,India,2
Homer,United States,2
Minneapolis,United States,2
Cuxhaven,Germany,2
Harbin,China,2
Beaufort,United States,2
Kingman,United States,2
Dalma Island,United Arab Emirates,2
Daly City,United States,2
Gothenborg,Sweden,2
Roatan,Honduras,2
Tuxtla Gutierrez,Mexico,2
Winnemucca,United States,2
Krabi,Thailand,2
Bakersfield,United States,2
Havre,United States,2
Cuyo,Philippines,2
Mestia,Georgia,2
Segovia,Spain,2
Mbeya,Tanzania,2
Chief's Island,Botswana,2
Praslin,Seychelles,2
Cabo San Lucas,Mexico,2
Yuryevets,Russia,2
Farmingdale,United States,2
Aumuhle,Germany,2
Alfortville,France,2
Le Mans,France,2
Salzburg,Austria,2
Meridian,United States,2
Ajaccio,France,2
Santa Cruz,Bolivia,2
Albury,Australia,2
Cold Bay,United States,2
Valdez,United States,2
Jiayuguan,China,2
Ganges,Canada,2
Bayreuth,Germany,2
Vigo,Spain,2
Kanazawa,Japan,2
Memphis,United States,2
Sea Lion Island,Falkland Islands,2
Pamplona,Spain,2
Kankakee,United States,2
Titusville,United States,2
Kostroma,Russia,2
Cumberland,United States,2
Takayama,Japan,2
Conshohocken,United States,2
Sandefjord,Norway,2
Ceiba,Puerto Rico,2
Staraya Russa,Russia,2
Hoedspruit,South Africa,2
La Rochelle,France,2
Ponta Delgada,Portugal,2
Kutahya,Turkey,2
Tashkent,Uzbekistan,2
Port Townsend,United States,2
Bloemfontein,South Africa,2
Lewisburg,United States,2
Villach,Austria,2
Selous,Tanzania,2
Copiapo,Chile,2
Yotsukaido,Japan,2
Stendal,Germany,2
El Paso,United States,2
Lamar,United States,2
Bremerton,United States,2
Kake,United States,2
East Stroudsburg,United States,2
Dubai,Japan,2
Bielefeld,Germany,2
Inverness,United Kingdom,2
Sapporo,Japan,2
Punta Arenas,Chile,2
Chattanooga,United States,2
Waterloo,United States,2
Airlie Beach,Australia,2
Yokohama,Japan,2
Malaga,Spain,2
Puerto Vallarta,Mexico,2
Birmingham,United States,2
Sanliurfa,Turkey,2
Shijiazhuang,China,2
Lisboa,Portugal,2
Monistrol de Montserrat,Spain,2
Srednekolymsk,Russia,2
Mount Laurel,United States,2
Keelung,Taiwan,2
Uelzen,Germany,2
Oconomowoc,United States,2
Hayward,United States,2
Nakhon Si Thammarat,Thailand,2
Marktoberdorf,Germany,2
Rapid City,United States,2
Sturtevant,United States,2
Troy,United States,2
Heraklion,Greece,2
Aso,Japan,2
Latacunga,Ecuador,2
Ulyanovsk,Russia,2
Sterling,United States,2
Flagler,United States,2
Lima,United States,2
Grimsby,Canada,2
Wuhan,China,2
Alamogordo,United States,2
Argyle,Australia,2
Martinsburg,United States,2
Villepinte,France,2
Tripoli,Libya,2
Gifu,Japan,2
Dole,France,2
Istres,France,2
Galveston,United States,2
Ganzhou,China,2
Halle,Germany,2
Maseru,Lesotho,2
Yekaterinburg,Russia,2
El Calafate,Argentina,2
Brantford,Canada,2
Hamilton,United States,2
Knoxville,United States,2
Eugene,United States,2
Joliet,United States,2
Mudanjiang,China,2
Rockford,United States,2
Baracoa Playa,Cuba,2
Rockhampton,Australia,2
Montbeliard,France,2
Richmond,Australia,2
Tomah,United States,2
Monrovia,Liberia,2
Newport News,United States,2
Fullerton,United States,2
San Bernardino,United States,2
Schwerin,Germany,2
Kamloops,Canada,2
Braunschweig,Germany,2
Kilimanjaro,Tanzania,2
Kimana,Kenya,2
Bungle Bungle,Australia,2
Malbork,Poland,2
Livingstone,Zambia,2
Maracaibo,Venezuela,2
Xiamen,China,2
Valdosta,United States,2
Zunyi,China,2
Bullhead City,United States,2
Egelsbach,Germany,2
Islamabad,Pakistan,2
Chignik,United States,2
Hillsboro,United States,2
Monchengladbach,Germany,2
Flensburg,Germany,2
Greenwood,United States,2
Assumption Island,Seychelles,2
Richland Center,United States,2
Gransee,Germany,2
Prince George,Canada,2
Kosice,Slovakia,2
Guapiles,Costa Rica,2
Scarborough,Trinidad and Tobago,2
Jasper,Canada,2
Kanash,Russia,2
Birmingham,United Kingdom,2
Hanau,Germany,2
Bodrum,Turkey,2
Daqing,China,2
Quantico,United States,2
Grand Junction,United States,2
Kaufbeuren,Germany,2
Banff,Canada,2
Lecce,Italy,2
Natal,Brazil,2
Lynchburg,United States,2
Costa maya,Mexico,2
Flam,Norway,2
Hammond,United States,2
Angermunde,Germany,2
Creil,France,2
Sitka,United States,2
Connellsville,United States,2
Tenerife,Spain,2
Bellingham,United States,2
Antarctica,Antarctica,2
Ardmore,United States,2
Gombe,Nigeria,2
St. Paul,United States,2
Morristown,United States,2
Plymouth,United States,2
Malacca,Malaysia,2
Glenview,United States,2
Penneshaw,Australia,2
Camden,United States,2
Anklam,Germany,2
Citron,French Guiana,2
Alexandria,Egypt,2
Valencia,Spain,2
Bandar Abbas,Iran,2
Long Beach,United States,2
Morgantown,United States,2
Bydgoszcz,Poland,2
Needles,United States,2
Calgary,Canada,2
Gavle,Sweden,2
Lebanon,United States,2
Talek,Kenya,2
Sovetskaya Gavan,Russia,2
Kelsterbach,Germany,2
Rhodos,Greece,2
Santa Barbara,Venezuela,2
Murmansk,Russia,2
Tulsa,United States,2
Hamadan,Iran,2
Interlaken,Switzerland,2
Toowoomba,Australia,2
Montreux,Switzerland,2
Bengbu,China,2
Genoa,Italy,2
Mogadishu,Somalia,2
Burgos,Spain,2
Hatfield,United Kingdom,2
Montpellier,France,2
Avignon,France,2
Temuco,Chile,2
Perm,Russia,2
Hue,Vietnam,2
Burg,Germany,2
Hardap,Namibia,2
Neubrandenburg,Germany,2
Hoonah,United States,2
Klagenfurt,Austria,2
Gainesville,United States,2
Edmundston,Canada,2
Macon,France,2
San Jose,Costa Rica,2
Kralendijk,Netherlands Antilles,2
Stratford,United States,2
Aberdeen,United States,2
Dali,China,2
Meaux,France,2
Perth,United Kingdom,2
Georgetown,Cayman Islands,2
Dundee,United Kingdom,2
Albert,France,2
Viterbo,Italy,2
Himeji,Japan,2
Zhenjiang,China,2
Arbroath,United Kingdom,2
Willemstad,Netherlands Antilles,2
Kuwait,Kuwait,2
Remire,French Guiana,2
Bagan,Burma,2
Lompoc,United States,2
Vladimir,Russia,2
Hakone,Japan,2
Te Anau,New Zealand,2
Nantes,France,2
Ocala,United States,2
Davis,United States,2
Jalal-Abad,Kyrgyzstan,2
Tampere,Finland,2
Maastricht,Netherlands,2
Orleans,France,2
Lugano,Switzerland,2
San Jose,Philippines,2
Wekweeti,Canada,2
Zhytomyr,Ukraine,2
Ensenada,Mexico,2
Pensacola,United States,2
Fraser Island,Australia,2
Cordoba,Spain,2
Huizhou,China,2
Winter Haven,United States,2
Visby,Sweden,2
Bedford,United States,2
Santa Rosa,United States,2
Anacortes,United States,2
,Saudi Arabia,2
Manzhouli,China,2
Turpan,China,2
Portage,United States,2
Fussen,Germany,2
London,United States,2
Newton,United States,2
Ruwais,United Arab Emirates,2
Nicoya,Costa Rica,2
Winslow,United States,2
Havana,Cuba,2
Hualien,Taiwan,2
Medan,Indonesia,2
Marysville,United States,2
Miaoli,Taiwan,2
Reggio Emilia,Italy,2
Tallinn,Estonia,2
Maripasoula,French Guiana,2
Civitavecchia,Italy,2
Hwange National Park,Zimbabwe,2
Lleida,Spain,2
McKinley Park,United States,2
Sankt Peter-Ording,Germany,2
Bishop,United States,2
Cheboygan,United States,2
Kunming,China,2
Schleswig,Germany,2
Rimini,Italy,2
La Romana,Dominican Republic,2
Lansing,United States,2
Lensk,Russia,2
Bergamo,Italy,2
Newport,United States,2
Saint-Cyr,France,2
Millbrae,United States,2
Sarajevo,Bosnia and Herzegovina,2
Roskilde,Denmark,2
TSST,Switzerland,2
Cannes,France,2
Innsbruck,Austria,2
Dillingham,United States,2
Ashland,United States,2
Varanasi,India,2
Cozumel,Mexico,2
Balkhash,Kazakhstan,2
Wagga Wagga,Australia,2
Uvalde,United States,2
Eberswalde,Germany,2
Stuttgart,Germany,2
Luebeck,Germany,2
Buochs,Switzerland,2
Moorea,French Polynesia,2
Portsmouth,United States,2
Deer Lake,Canada,2
Brescia,Italy,2
Iwakuni,Japan,2
Atlantic City,United States,2
Kavala,Greece,2
Klawock,United States,2
Oshawa,Canada,2
Hennepin County,United States,2
Harare,Zimbabwe,2
Summit,United States,2
Moab,United States,2
Casablanca,Morocco,2
Dhaka,Bangladesh,2
Champaign,United States,2
Halle,Belgium,2
Diepholz,Germany,2
Rijeka,Croatia,2
Brno,Czech Republic,2
Dhanbad,India,2
Tamchy,Kyrgyzstan,2
Besancon,France,2
Gdansk,Poland,2
Qinhuangdao,China,2
Lakeview,United States,2
Latrobe,United States,2
Petrozavodsk,Russia,2
Sainte-Foy,Canada,2
Cardiff,United Kingdom,2
Dijon,France,2
Bridgetown,Barbados,2
Saint Elie,French Guiana,2
Ollantaytambo,Peru,2
Tasiusaq,Greenland,2
Okeechobee,United States,2
Sargans,Switzerland,2
Southampton,United Kingdom,2
Plovdiv,Bulgaria,2
Reno,United States,2
Binghamton,United States,2
Sidney,United States,2
Ann Arbor,United States,2
Mostar,Bosnia and Herzegovina,2
Natuashish,Canada,2
San Carlos,United States,2
Leesburg,United States,2
Magadan,Russia,2
Phetchabun,Thailand,2
Boca Raton,United States,2
Fox Glacier,New Zealand,2
Belem,Brazil,2
Adelaide,Australia,2
Peru,United States,2
Lijiang,China,2
Port Jefferson,United States,2
Linkoeping,Sweden,2
Sandusky,United States,2
Saratov,Russia,2
South Shetland,Antarctica,2
Kuramathi,Maldives,2
Sofia,Bulgaria,2
Noumea,New Caledonia,2
Hamamatsu,Japan,2
Puerto Williams,Chile,2
Healy,United States,2
Olympia,United States,2
Rivera,Uruguay,2
Marshfield,United States,2
Galesburg,United States,2
Bornheim,Germany,2
Xi'an,China,2
Fort Wayne,United States,2
Chengde,China,2
York,United Kingdom,2
Lexington,United States,2
,Japan,2
Praha,Czech Republic,2
Nantucket,United States,2
Crestview,United States,2
Ogden,United States,2
Helsingborg,Sweden,2
Lutselk'e,Canada,2
Greifswald,Germany,2
Windsor,Canada,2
Foz Do Iguacu,Brazil,2
Pompano Beach,United States,2
Saint-Petersburg,Russia,2
Umea,Sweden,2
Phuket,Thailand,2
Chateau-Thierry,France,2
Torshavn,Faroe Islands,2
Peoria,United States,2
Toyama,Japan,2
Decatur,United States,2
Mgarr,Malta,2
Nicosia,Cyprus,2
Osnabrueck,Germany,2
Zhubei,Taiwan,2
Meudon,France,2
,Poland,2
Bordeaux,France,2
Memmingen,Germany,2
Rimatara,French Polynesia,2
Geneva,United States,2
Bourges,France,2
Chisinau,Moldova,2
Bahrain,Bahrain,2
Kolkata,India,2
Sossusvlei,Namibia,2
Como,Italy,2
Furstenwalde,Germany,2
Warsaw,United States,2
Yuzhno-Kurilsk,Russia,2
Mocksville,United States,2
Oulu,Finland,2
Jeddah,Saudi Arabia,2
Danville,United States,2
Tarif,United Arab Emirates,2
Katowice,Poland,2
Padang,Indonesia,2
Novorossiysk,Russia,2
Xakan,Botswana,2
Ljubljana,Slovenia,2
Amberley,Australia,2
Altoona,United States,2
Hyvinkaa,Finland,2
Norrkoeping,Sweden,2
Riyadh,Saudi Arabia,2
Curitiba,Brazil,2
Tbilisi,Georgia,2
